"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"biblioteka";0,000790688537968198;0;0,00677086600434815;0,0032912555101663;0;0,00500280603882104;0;0;0;0;0;0;0;0;0;0;0;0;0
"biæ";0;0;0;0,00475538435350452;0;0;0,0129014002520103;0;0;0;0;0;0;0;0;0;0;0;0
"biegn¹æ";0,0015813770759364;0;0,00451391066956543;0;0;0;0,00223230140361826;0;0;0;0;0;0;0;0;0;0;0;0,00874679966320461
"billa";0,00187334858439847;0,00583556978682782;0;0;0,00589151551487263;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitwa";0;0,00281373180212743;0;0;0;0;0;0;0;0,008266091925134;0,00550285548158921;0;0;0;0;0;0,0046975595574542;0,024798275775402;0
"biuro";0;0;0;0,00779784776785484;0;0,00197549333288014;0;0,00301581541644669;0;0;0;0;0;0;0;0;0;0;0
"blacka";0;0;0;0;0;0;0,00264445383587133;0;0;0;0;0;0;0;0;0,0061642708627834;0;0;0,0103617315670133
"blackiem";0;0;0;0;0;0;0,00322535006300257;0,00367828710469262;0;0;0;0;0;0;0;0;0;0;0
"blacku";0;0,00237248174831526;0;0;0;0;0,00322535006300257;0;0;0;0;0;0;0;0;0;0;0;0
"bliski";0;0;0;0,00475538435350452;0;0,00240944177555162;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizna";0,00562004575319542;0;0,00267365965132774;0;0;0,00395098666576028;0;0;0;0;0;0;0;0;0;0;0;0;0
"bliŸniak";0,00342728896951486;0;0;0;0;0;0;0;0,0457454579358251;0;0;0;0;0;0;0;0;0;0
"b³¹d";0,000936674292199236;0;0;0;0;0,00197549333288014;0,00264445383587133;0;0;0;0;0;0;0;0;0;0;0;0
"b³êdny";0;0;0;0;0;0;0,00322535006300257;0,00367828710469262;0;0;0;0;0;0;0;0;0;0;0
"b³ona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0257772024876475;0;0,00792177442303314;0;0
"b³yskawica";0;0;0,00326097139903974;0;0;0;0,0096760501890077;0;0;0;0;0;0;0;0;0;0;0;0
"bohater";0;0,00281373180212743;0;0,00281991130096079;0;0,0014287829514512;0;0;0,0271267523740313;0;0;0;0;0;0;0,00891666397479733;0;0;0
"boi";0,000584933173662479;0,00121472973902296;0;0,00243479504058921;0;0,00123365357026886;0,00165140517648702;0,00188331258518961;0;0;0;0;0;0;0;0;0;0;0
"boisko";0,00228485931300991;0;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boj¹";0;0;0;0;0;0;0;0;0;0,00348490076549741;0,0030932642985177;0;0;0;0;0;0;0;0
"boleæ";0,00187334858439847;0;0;0;0;0,00197549333288014;0;0;0;0;0;0;0;0;0;0,0061642708627834;0;0;0
"bo¿e";0;0;0,00225695533478272;0;0,00745993643841898;0;0,00223230140361826;0,00254578427343554;0;0;0;0;0;0;0;0;0;0;0
"bo¿onarodzeniowy";0,00228485931300991;0;0;0;0,00359284016973848;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ból";0,00562004575319542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0061642708627834;0;0,0114290343893666;0
